2	59.204	58.280
5	29.313	36.820
10	20.127	26.860
50	9.142	11.930
149	7.285	9.847
2	57.356	58.564
5	29.847	35.432
10	18.903	27.354
50	8.694	11.642
149	7.631	10.059
2	56.574	54.940
5	28.175	34.187
10	19.421	27.331
50	8.480	11.909
149	7.152	9.324
2	57.783	57.711
5	29.385	38.100
10	19.209	27.307
50	9.271	12.549
149	6.869	8.925
2	56.859	57.498
5	29.278	35.468
10	19.280	26.436
50	8.950	12.133
149	7.489	9.731
2	55.437	54.655
5	30.274	37.069
10	19.774	26.671
50	8.961	12.144
149	7.099	9.723
2	59.346	56.361
5	28.958	37.033
10	18.856	27.024
50	8.907	12.058
149	7.268	9.687
2	57.285	58.280
5	27.428	35.788
10	18.785	27.189
50	8.491	11.770
149	7.454	9.590
2	56.077	56.645
5	29.313	37.602
10	19.397	26.695
50	8.608	11.706
149	7.498	9.572
2	60.128	58.991
5	30.132	37.638
10	20.080	28.743
50	8.587	11.620
149	6.629	9.315
